iter	Passed	Remaining
604	2842	1855
605	2846	1850
606	2851	1845
607	2854	1840
608	2858	1835
609	2863	1830
610	2867	1825
611	2871	1820
612	2876	1815
613	2880	1810
614	2884	1805
615	2889	1801
616	2893	1796
617	2897	1791
618	2902	1786
619	2907	1782
620	2912	1777
621	2917	1772
622	2922	1768
623	2926	1763
624	2931	1758
625	2935	1753
626	2938	1748
627	2942	1743
628	2948	1739
629	2952	1734
630	2956	1728
631	2961	1724
632	2965	1719
633	2969	1714
634	2973	1709
635	2978	1704
636	2982	1699
637	2987	1695
638	2992	1690
639	2996	1685
640	3000	1680
641	3003	1674
642	3007	1670
643	3011	1664
644	3015	1659
645	3020	1654
646	3024	1650
647	3028	1644
648	3032	1639
649	3036	1635
650	3041	1630
651	3045	1625
652	3050	1620
653	3054	1615
654	3058	1611
655	3063	1606
656	3068	1601
657	3072	1596
658	3077	1592
659	3082	1588
660	3086	1583
661	3090	1578
662	3095	1573
663	3099	1568
664	3103	1563
665	3108	1558
666	3112	1554
667	3117	1549
668	3121	1544
669	3126	1539
670	3130	1535
671	3135	1530
672	3140	1525
673	3144	1520
674	3148	1515
675	3152	1510
676	3156	1506
677	3160	1501
678	3164	1496
679	3169	1491
680	3173	1486
681	3177	1481
682	3181	1476
683	3186	1471
684	3189	1466
685	3193	1461
686	3198	1457
687	3202	1452
688	3207	1447
689	3211	1442
690	3215	1437
691	3219	1433
692	3223	1428
693	3229	1423
694	3233	1419
695	3237	1414
696	3242	1409
697	3246	1404
698	3250	1399
699	3256	1395
700	3260	1390
701	3264	1385
702	3268	1380
703	3273	1376
704	3277	1371
705	3279	1365
706	3284	1361
707	3288	1356
708	3293	1351
709	3297	1346
710	3301	1342
711	3306	1337
712	3310	1332
713	3315	1328
714	3319	1323
715	3323	1318
716	3328	1313
717	3332	1309
718	3337	1304
719	3341	1299
720	3345	1294
721	3350	1290
722	3355	1285
723	3359	1280
724	3364	1276
725	3368	1271
726	3374	1267
727	3378	1262
728	3382	1257
729	3387	1252
730	3391	1248
731	3397	1243
732	3402	1239
733	3406	1234
734	3411	1230
735	3416	1225
736	3421	1220
737	3425	1216
738	3430	1211
739	3435	1206
740	3438	1201
741	3443	1197
742	3447	1192
743	3451	1187
744	3455	1182
745	3459	1177
746	3464	1173
747	3467	1168
748	3472	1163
749	3476	1158
750	3480	1154
751	3485	1149
752	3489	1144
753	3493	1139
754	3497	1135
755	3503	1130
756	3506	1125
757	3511	1121
758	3516	1116
759	3520	1111
760	3524	1107
761	3529	1102
762	3534	1097
763	3538	1093
764	3542	1088
765	3547	1083
766	3552	1079
767	3556	1074
768	3561	1069
769	3565	1065
770	3569	1060
771	3573	1055
772	3577	1050
773	3582	1046
774	3586	1041
775	3590	1036
776	3594	1031
777	3599	1027
778	3603	1022
779	3607	1017
780	3611	1012
781	3614	1007
782	3619	1003
783	3622	998
784	3626	993
785	3630	988
786	3635	983
787	3639	979
788	3643	974
789	3647	969
790	3651	964
791	3655	960
792	3658	955
793	3663	950
794	3667	945
795	3671	941
796	3676	936
797	3681	931
798	3685	927
799	3689	922
800	3694	917
801	3698	913
802	3701	908
803	3706	903
804	3710	898
805	3715	894
806	3719	889
807	3723	884
808	3728	880
809	3731	875
810	3736	870
811	3741	866
812	3745	861
813	3750	857
814	3755	852
815	3758	847
816	3763	843
817	3767	838
818	3771	833
819	3775	828
820	3779	824
821	3784	819
822	3788	814
823	3792	810
824	3797	805
825	3801	800
826	3805	796
827	3811	791
828	3815	786
829	3820	782
830	3825	778
831	3830	773
832	3835	768
833	3839	764
834	3843	759
835	3848	755
836	3854	750
837	3858	746
838	3863	741
839	3867	736
840	3872	732
841	3876	727
842	3879	722
843	3884	717
844	3888	713
845	3893	708
846	3897	704
847	3902	699
848	3906	694
849	3910	690
850	3915	685
851	3919	680
852	3923	676
853	3927	671
854	3932	666
855	3937	662
856	3942	657
857	3945	653
858	3949	648
859	3953	643
860	3957	638
861	3962	634
862	3966	629
863	3970	624
864	3975	620
865	3979	615
866	3983	611
867	3987	606
868	3991	601
869	3995	597
870	3999	592
871	4003	587
872	4008	583
873	4011	578
874	4016	573
875	4021	569
876	4025	564
877	4029	559
878	4034	555
879	4039	550
880	4044	546
881	4049	541
882	4053	537
883	4058	532
884	4063	527
885	4067	523
886	4071	518
887	4075	513
888	4079	509
889	4084	504
890	4088	500
891	4092	495
892	4096	490
893	4101	486
894	4105	481
895	4109	476
896	4114	472
897	4118	467
898	4122	463
899	4126	458
900	4130	453
901	4134	449
902	4139	444
903	4143	440
904	4147	435
905	4152	430
906	4157	426
907	4160	421
908	4165	417
909	4170	412
910	4174	407
911	4178	403
912	4183	398
913	4187	394
914	4191	389
915	4196	384
916	4201	380
917	4205	375
918	4210	371
919	4214	366
920	4218	361
921	4222	357
922	4227	352
923	4231	348
924	4235	343
925	4241	338
926	4244	334
927	4248	329
928	4253	325
929	4257	320
930	4261	315
931	4265	311
932	4270	306
933	4274	302
934	4277	297
935	4282	292
936	4287	288
937	4291	283
938	4295	279
939	4301	274
940	4305	269
941	4309	265
942	4313	260
943	4317	256
944	4322	251
945	4326	246
946	4330	242
947	4334	237
948	4339	233
949	4343	228
950	4346	223
951	4351	219
952	4355	214
953	4360	210
954	4364	205
955	4369	201
956	4374	196
957	4377	191
958	4382	187
959	4386	182
960	4391	178
961	4396	173
962	4401	169
963	4406	164
964	4411	159
965	4416	155
966	4421	150
967	4426	146
968	4430	141
969	4435	137
970	4439	132
971	4443	128
972	4447	123
973	4452	118
974	4456	114
975	4461	109
976	4465	105
977	4469	100
978	4473	95
979	4478	91
980	4483	86
981	4487	82
982	4492	77
983	4496	73
984	4500	68
985	4503	63
986	4507	59
987	4511	54
988	4515	50
989	4519	45
990	4522	41
991	4528	36
992	4532	31
993	4535	27
994	4540	22
995	4544	18
996	4548	13
997	4551	9
998	4556	4
999	4560	0
